eta,max_depth,min_child_weight,subsample,colsample_bytree,lambda,alpha,optimal_trees,min_RMSE
0.01,1,1,0.65,0.8,0,0,1160,0.001875945716020931
0.05,1,1,0.65,0.8,0,0,265,0.001883162933752376
0.1,1,1,0.65,0.8,0,0,121,0.00189383870956979
0.3,1,1,0.65,0.8,0,0,39,0.001968891417804437
0.01,3,1,0.65,0.8,0,0,892,0.001805505807586188
0.05,3,1,0.65,0.8,0,0,175,0.001825252516634734
0.1,3,1,0.65,0.8,0,0,83,0.001838739869073891
0.3,3,1,0.65,0.8,0,0,35,0.001958000239589921
0.01,5,1,0.65,0.8,0,0,903,0.001793937377661168
0.05,5,1,0.65,0.8,0,0,190,0.00182074911277592
0.1,5,1,0.65,0.8,0,0,110,0.001829583643005102
0.3,5,1,0.65,0.8,0,0,23,0.002081041222125106
0.01,7,1,0.65,0.8,0,0,1019,0.001808632624261968
0.05,7,1,0.65,0.8,0,0,210,0.001846223620069764
0.1,7,1,0.65,0.8,0,0,105,0.001881146283648466
0.3,7,1,0.65,0.8,0,0,27,0.0020888384608821198
0.01,1,3,0.65,0.8,0,0,1171,0.0018782224360860869
0.05,1,3,0.65,0.8,0,0,216,0.0018866981889809969
0.1,1,3,0.65,0.8,0,0,123,0.001891027362547767
0.3,1,3,0.65,0.8,0,0,39,0.001955109778101241
0.01,3,3,0.65,0.8,0,0,868,0.001799000382951242
0.05,3,3,0.65,0.8,0,0,177,0.001814610875836294
0.1,3,3,0.65,0.8,0,0,84,0.001828013670471316
0.3,3,3,0.65,0.8,0,0,34,0.001912109440553147
0.01,5,3,0.65,0.8,0,0,915,0.001799134136269202
0.05,5,3,0.65,0.8,0,0,209,0.001812523446172082
0.1,5,3,0.65,0.8,0,0,106,0.001840231564266985
0.3,5,3,0.65,0.8,0,0,23,0.001916354591642773
0.01,7,3,0.65,0.8,0,0,882,0.001816557406287934
0.05,7,3,0.65,0.8,0,0,187,0.001821503053124423
0.1,7,3,0.65,0.8,0,0,82,0.001871758584673622
0.3,7,3,0.65,0.8,0,0,26,0.002029958893904659
0.01,1,5,0.65,0.8,0,0,1085,0.00189580006705152
0.05,1,5,0.65,0.8,0,0,228,0.001901261385015828
0.1,1,5,0.65,0.8,0,0,123,0.001902920933531715
0.3,1,5,0.65,0.8,0,0,74,0.001965140367420909
0.01,3,5,0.65,0.8,0,0,958,0.001810836742859879
0.05,3,5,0.65,0.8,0,0,186,0.001813517818340892
0.1,3,5,0.65,0.8,0,0,88,0.001835492153779359
0.3,3,5,0.65,0.8,0,0,29,0.001921333196669433
0.01,5,5,0.65,0.8,0,0,934,0.001805787030115101
0.05,5,5,0.65,0.8,0,0,184,0.001813641762120172
0.1,5,5,0.65,0.8,0,0,84,0.001856054980626522
0.3,5,5,0.65,0.8,0,0,25,0.001906255879539591
0.01,7,5,0.65,0.8,0,0,846,0.00181555839655381
0.05,7,5,0.65,0.8,0,0,190,0.001827355748730105
0.1,7,5,0.65,0.8,0,0,82,0.001867610664140309
0.3,7,5,0.65,0.8,0,0,25,0.001983781452380502
0.01,1,7,0.65,0.8,0,0,1079,0.001920041143660553
0.05,1,7,0.65,0.8,0,0,229,0.001926039881270763
0.1,1,7,0.65,0.8,0,0,123,0.001939397868894132
0.3,1,7,0.65,0.8,0,0,84,0.001974258254746445
0.01,3,7,0.65,0.8,0,0,931,0.001822090719284485
0.05,3,7,0.65,0.8,0,0,188,0.001828953316318665
0.1,3,7,0.65,0.8,0,0,106,0.0018461454097788291
0.3,3,7,0.65,0.8,0,0,22,0.001908638346286769
0.01,5,7,0.65,0.8,0,0,876,0.0018304231427176121
0.05,5,7,0.65,0.8,0,0,175,0.001828193026929195
0.1,5,7,0.65,0.8,0,0,105,0.0018626923401287
0.3,5,7,0.65,0.8,0,0,27,0.001952429332414826
0.01,7,7,0.65,0.8,0,0,849,0.00182654871896494
0.05,7,7,0.65,0.8,0,0,184,0.0018460152892119
0.1,7,7,0.65,0.8,0,0,103,0.001870353955134857
0.3,7,7,0.65,0.8,0,0,22,0.001970478796747786
0.01,1,1,0.8,0.8,0,0,1205,0.001872124698607074
0.05,1,1,0.8,0.8,0,0,268,0.00187446907931177
0.1,1,1,0.8,0.8,0,0,142,0.001875357654547134
0.3,1,1,0.8,0.8,0,0,67,0.001902307159963225
0.01,3,1,0.8,0.8,0,0,901,0.001809684198171706
0.05,3,1,0.8,0.8,0,0,191,0.001813758694759408
0.1,3,1,0.8,0.8,0,0,111,0.001844747155410884
0.3,3,1,0.8,0.8,0,0,37,0.001934500244066653
0.01,5,1,0.8,0.8,0,0,930,0.0017916478373236331
0.05,5,1,0.8,0.8,0,0,180,0.001816989099297154
0.1,5,1,0.8,0.8,0,0,82,0.001856076231581283
0.3,5,1,0.8,0.8,0,0,26,0.001956082603284846
0.01,7,1,0.8,0.8,0,0,1098,0.00182250102825266
0.05,7,1,0.8,0.8,0,0,220,0.001859435153115151
0.1,7,1,0.8,0.8,0,0,110,0.001854548963345811
0.3,7,1,0.8,0.8,0,0,39,0.001980203046191153
0.01,1,3,0.8,0.8,0,0,1115,0.001873313282853031
0.05,1,3,0.8,0.8,0,0,244,0.001875560929046006
0.1,1,3,0.8,0.8,0,0,142,0.001865236526602175
0.3,1,3,0.8,0.8,0,0,70,0.001900497810958788
0.01,3,3,0.8,0.8,0,0,941,0.001796837747147517
0.05,3,3,0.8,0.8,0,0,184,0.001793129482865872
0.1,3,3,0.8,0.8,0,0,102,0.001813920045894543
0.3,3,3,0.8,0.8,0,0,32,0.001908630540610795
0.01,5,3,0.8,0.8,0,0,940,0.001793083982164499
0.05,5,3,0.8,0.8,0,0,191,0.001795641467009997
0.1,5,3,0.8,0.8,0,0,87,0.001828322270206065
0.3,5,3,0.8,0.8,0,0,28,0.00188643131388771
0.01,7,3,0.8,0.8,0,0,870,0.0018168253319771279
0.05,7,3,0.8,0.8,0,0,188,0.0018169941924493869
0.1,7,3,0.8,0.8,0,0,111,0.001836067982353284
0.3,7,3,0.8,0.8,0,0,25,0.001954313237440017
0.01,1,5,0.8,0.8,0,0,1116,0.001881308387834049
0.05,1,5,0.8,0.8,0,0,302,0.001870213006902826
0.1,1,5,0.8,0.8,0,0,118,0.001877793872135733
0.3,1,5,0.8,0.8,0,0,47,0.001917554090572542
0.01,3,5,0.8,0.8,0,0,941,0.0018006771570877708
0.05,3,5,0.8,0.8,0,0,184,0.001800793171563672
0.1,3,5,0.8,0.8,0,0,107,0.001802841569079966
0.3,3,5,0.8,0.8,0,0,29,0.001912034063719727
0.01,5,5,0.8,0.8,0,0,934,0.001805167847588062
0.05,5,5,0.8,0.8,0,0,169,0.0018093596819112809
0.1,5,5,0.8,0.8,0,0,84,0.001835910988174505
0.3,5,5,0.8,0.8,0,0,32,0.00195083990138349
0.01,7,5,0.8,0.8,0,0,940,0.001807395973027457
0.05,7,5,0.8,0.8,0,0,195,0.001821489184920806
0.1,7,5,0.8,0.8,0,0,122,0.00183667485631046
0.3,7,5,0.8,0.8,0,0,24,0.001975653631480371
0.01,1,7,0.8,0.8,0,0,1116,0.001910780823870149
0.05,1,7,0.8,0.8,0,0,244,0.001912915122772205
0.1,1,7,0.8,0.8,0,0,202,0.001903003893600799
0.3,1,7,0.8,0.8,0,0,45,0.001948548569932668
0.01,3,7,0.8,0.8,0,0,972,0.001810516551630975
0.05,3,7,0.8,0.8,0,0,186,0.00181532943872146
0.1,3,7,0.8,0.8,0,0,101,0.001817772765870096
0.3,3,7,0.8,0.8,0,0,30,0.001896412535255527
0.01,5,7,0.8,0.8,0,0,922,0.00182448970181729
0.05,5,7,0.8,0.8,0,0,176,0.001845029654424382
0.1,5,7,0.8,0.8,0,0,82,0.001855815894179033
0.3,5,7,0.8,0.8,0,0,30,0.001924440064407684
0.01,7,7,0.8,0.8,0,0,901,0.001837732354398124
0.05,7,7,0.8,0.8,0,0,176,0.00184477881421099
0.1,7,7,0.8,0.8,0,0,93,0.001878803001976172
0.3,7,7,0.8,0.8,0,0,27,0.00191316772853494
0.01,1,1,1,0.8,0,0,1673,0.001865691196141232
0.05,1,1,1,0.8,0,0,361,0.001861116553128049
0.1,1,1,1,0.8,0,0,163,0.0018663612398475001
0.3,1,1,1,0.8,0,0,46,0.001898620779183784
0.01,3,1,1,0.8,0,0,1007,0.001806928295458958
0.05,3,1,1,0.8,0,0,188,0.0018171272876302239
0.1,3,1,1,0.8,0,0,100,0.001819251874868413
0.3,3,1,1,0.8,0,0,36,0.001883872324111526
0.01,5,1,1,0.8,0,0,1115,0.001770628205498906
0.05,5,1,1,0.8,0,0,264,0.001789501284810915
0.1,5,1,1,0.8,0,0,135,0.001815043809437381
0.3,5,1,1,0.8,0,0,28,0.001921878647711283
0.01,7,1,1,0.8,0,0,1185,0.001852417783342203
0.05,7,1,1,0.8,0,0,264,0.001859401412655561
0.1,7,1,1,0.8,0,0,135,0.001877549951001639
0.3,7,1,1,0.8,0,0,43,0.002014629131240753
0.01,1,3,1,0.8,0,0,1836,0.001843789261759421
0.05,1,3,1,0.8,0,0,420,0.001836638238127625
0.1,1,3,1,0.8,0,0,189,0.001838983659561425
0.3,1,3,1,0.8,0,0,131,0.001853586610011454
0.01,3,3,1,0.8,0,0,945,0.001803285512965143
0.05,3,3,1,0.8,0,0,225,0.001806202658163237
0.1,3,3,1,0.8,0,0,105,0.001807647074718441
0.3,3,3,1,0.8,0,0,28,0.001882495968560119
0.01,5,3,1,0.8,0,0,1185,0.001792293039624595
0.05,5,3,1,0.8,0,0,264,0.001783399453734787
0.1,5,3,1,0.8,0,0,135,0.00180816920741265
0.3,5,3,1,0.8,0,0,27,0.001866249577288831
0.01,7,3,1,0.8,0,0,1185,0.0018179911768138651
0.05,7,3,1,0.8,0,0,264,0.001840172265428857
0.1,7,3,1,0.8,0,0,135,0.001851136995863639
0.3,7,3,1,0.8,0,0,44,0.001958348685357721
0.01,1,5,1,0.8,0,0,1882,0.001849626342748942
0.05,1,5,1,0.8,0,0,396,0.001845406154314442
0.1,1,5,1,0.8,0,0,205,0.001846326110278124
0.3,1,5,1,0.8,0,0,82,0.001882064874426998
0.01,3,5,1,0.8,0,0,990,0.001789550626294438
0.05,3,5,1,0.8,0,0,215,0.001800432318488311
0.1,3,5,1,0.8,0,0,88,0.001810854567838257
0.3,3,5,1,0.8,0,0,32,0.001839232881146706
0.01,5,5,1,0.8,0,0,919,0.0018065007097401481
0.05,5,5,1,0.8,0,0,173,0.001810719824233392
0.1,5,5,1,0.8,0,0,94,0.001828933857557382
0.3,5,5,1,0.8,0,0,25,0.00185863037926826
0.01,7,5,1,0.8,0,0,994,0.001823040432639731
0.05,7,5,1,0.8,0,0,195,0.001837953398351329
0.1,7,5,1,0.8,0,0,103,0.00184131140544917
0.3,7,5,1,0.8,0,0,25,0.001938890298053426
0.01,1,7,1,0.8,0,0,1968,0.001877480799632711
0.05,1,7,1,0.8,0,0,387,0.001872980001843023
0.1,1,7,1,0.8,0,0,173,0.001878589987581064
0.3,1,7,1,0.8,0,0,119,0.001892361952231181
0.01,3,7,1,0.8,0,0,975,0.001804459922343227
0.05,3,7,1,0.8,0,0,191,0.001802635027021478
0.1,3,7,1,0.8,0,0,99,0.001799885746356314
0.3,3,7,1,0.8,0,0,39,0.001870432454347793
0.01,5,7,1,0.8,0,0,928,0.001815619698262903
0.05,5,7,1,0.8,0,0,173,0.001834515826790769
0.1,5,7,1,0.8,0,0,90,0.001834927735327497
0.3,5,7,1,0.8,0,0,36,0.001960862188592331
0.01,7,7,1,0.8,0,0,978,0.001830155915121592
0.05,7,7,1,0.8,0,0,192,0.001838724159773559
0.1,7,7,1,0.8,0,0,93,0.001862744462075891
0.3,7,7,1,0.8,0,0,26,0.001945810534561816
0.01,1,1,0.65,0.9,0,0,1167,0.001875729612849692
0.05,1,1,0.65,0.9,0,0,272,0.0018744175618066541
0.1,1,1,0.65,0.9,0,0,166,0.001892697839306765
0.3,1,1,0.65,0.9,0,0,40,0.001968471792814675
0.01,3,1,0.65,0.9,0,0,891,0.001805312928416087
0.05,3,1,0.65,0.9,0,0,175,0.001832270523276852
0.1,3,1,0.65,0.9,0,0,87,0.001853652838970358
0.3,3,1,0.65,0.9,0,0,32,0.001960558291694802
0.01,5,1,0.65,0.9,0,0,975,0.0018005357161209859
0.05,5,1,0.65,0.9,0,0,211,0.001825387853274257
0.1,5,1,0.65,0.9,0,0,110,0.001853207351868098
0.3,5,1,0.65,0.9,0,0,25,0.002044661569690198
0.01,7,1,0.65,0.9,0,0,1152,0.001830106326220493
0.05,7,1,0.65,0.9,0,0,217,0.001845728460322397
0.1,7,1,0.65,0.9,0,0,103,0.001859934788568835
0.3,7,1,0.65,0.9,0,0,26,0.002070330189768143
0.01,1,3,0.65,0.9,0,0,1029,0.001887629094406217
0.05,1,3,0.65,0.9,0,0,219,0.001881893307367496
0.1,1,3,0.65,0.9,0,0,138,0.001890027980913878
0.3,1,3,0.65,0.9,0,0,41,0.001972803998965305
0.01,3,3,0.65,0.9,0,0,868,0.001798102476814881
0.05,3,3,0.65,0.9,0,0,220,0.001820612772720846
0.1,3,3,0.65,0.9,0,0,89,0.0018335414172379629
0.3,3,3,0.65,0.9,0,0,31,0.001877618072821785
0.01,5,3,0.65,0.9,0,0,895,0.00180832511805774
0.05,5,3,0.65,0.9,0,0,175,0.001824149917736792
0.1,5,3,0.65,0.9,0,0,88,0.001870003549297722
0.3,5,3,0.65,0.9,0,0,25,0.001956614911117396
0.01,7,3,0.65,0.9,0,0,846,0.00182299960911604
0.05,7,3,0.65,0.9,0,0,187,0.001829177785466598
0.1,7,3,0.65,0.9,0,0,98,0.001866651062251594
0.3,7,3,0.65,0.9,0,0,23,0.002029492859698477
0.01,1,5,0.65,0.9,0,0,1083,0.00189801310715104
0.05,1,5,0.65,0.9,0,0,214,0.0019042194416291369
0.1,1,5,0.65,0.9,0,0,107,0.001910107490946808
0.3,1,5,0.65,0.9,0,0,40,0.0019896232839142648
0.01,3,5,0.65,0.9,0,0,960,0.001806204352153649
0.05,3,5,0.65,0.9,0,0,187,0.0018127912510098481
0.1,3,5,0.65,0.9,0,0,82,0.001835790571902043
0.3,3,5,0.65,0.9,0,0,27,0.001879488877140747
0.01,5,5,0.65,0.9,0,0,864,0.00181861122970534
0.05,5,5,0.65,0.9,0,0,177,0.001829026261578763
0.1,5,5,0.65,0.9,0,0,95,0.001854824203530496
0.3,5,5,0.65,0.9,0,0,32,0.0019513166612880341
0.01,7,5,0.65,0.9,0,0,856,0.001824435576300424
0.05,7,5,0.65,0.9,0,0,165,0.001827909745464549
0.1,7,5,0.65,0.9,0,0,89,0.001886667667633091
0.3,7,5,0.65,0.9,0,0,23,0.002000020863521231
0.01,1,7,0.65,0.9,0,0,1079,0.001921220493457202
0.05,1,7,0.65,0.9,0,0,214,0.001921684048966979
0.1,1,7,0.65,0.9,0,0,119,0.0019430190507282359
0.3,1,7,0.65,0.9,0,0,68,0.001984885541352494
0.01,3,7,0.65,0.9,0,0,851,0.001819864495485205
0.05,3,7,0.65,0.9,0,0,191,0.00183329740637211
0.1,3,7,0.65,0.9,0,0,91,0.001851310816016174
0.3,3,7,0.65,0.9,0,0,28,0.001892648448971462
0.01,5,7,0.65,0.9,0,0,869,0.001837464395631005
0.05,5,7,0.65,0.9,0,0,177,0.001832699809029636
0.1,5,7,0.65,0.9,0,0,82,0.001839517546947698
0.3,5,7,0.65,0.9,0,0,25,0.001969443877506515
0.01,7,7,0.65,0.9,0,0,846,0.001840485595858035
0.05,7,7,0.65,0.9,0,0,177,0.001844049329350384
0.1,7,7,0.65,0.9,0,0,80,0.001865835843593139
0.3,7,7,0.65,0.9,0,0,25,0.001961175039720975
0.01,1,1,0.8,0.9,0,0,1207,0.001873999375008183
0.05,1,1,0.8,0.9,0,0,229,0.001880222232739631
0.1,1,1,0.8,0.9,0,0,144,0.001879981567047611
0.3,1,1,0.8,0.9,0,0,52,0.0019314544307500801
0.01,3,1,0.8,0.9,0,0,895,0.0018137789962335742
0.05,3,1,0.8,0.9,0,0,205,0.001813224565580148
0.1,3,1,0.8,0.9,0,0,101,0.001840656867055605
0.3,3,1,0.8,0.9,0,0,26,0.001932192636251202
0.01,5,1,0.8,0.9,0,0,974,0.001801831943467699
0.05,5,1,0.8,0.9,0,0,195,0.001822583590298418
0.1,5,1,0.8,0.9,0,0,94,0.0018543603319787659
0.3,5,1,0.8,0.9,0,0,25,0.001975516300271038
0.01,7,1,0.8,0.9,0,0,1086,0.001838378650591018
0.05,7,1,0.8,0.9,0,0,244,0.001861345101165754
0.1,7,1,0.8,0.9,0,0,106,0.001869611252383909
0.3,7,1,0.8,0.9,0,0,38,0.001967236393023014
0.01,1,3,0.8,0.9,0,0,1191,0.001872892634768088
0.05,1,3,0.8,0.9,0,0,229,0.001877159974787248
0.1,1,3,0.8,0.9,0,0,125,0.001876448705252578
0.3,1,3,0.8,0.9,0,0,41,0.0019460501070034239
0.01,3,3,0.8,0.9,0,0,957,0.001797040588029102
0.05,3,3,0.8,0.9,0,0,185,0.001796794680391923
0.1,3,3,0.8,0.9,0,0,99,0.0018359759313707961
0.3,3,3,0.8,0.9,0,0,26,0.0018769401397740941
0.01,5,3,0.8,0.9,0,0,1001,0.001793020079085219
0.05,5,3,0.8,0.9,0,0,176,0.001798611255514514
0.1,5,3,0.8,0.9,0,0,98,0.00186235758069906
0.3,5,3,0.8,0.9,0,0,28,0.001909657852627641
0.01,7,3,0.8,0.9,0,0,870,0.001819248349548657
0.05,7,3,0.8,0.9,0,0,176,0.001836632359514442
0.1,7,3,0.8,0.9,0,0,84,0.0018759386247173759
0.3,7,3,0.8,0.9,0,0,25,0.0019291468649326581
0.01,1,5,0.8,0.9,0,0,1117,0.001884918533007734
0.05,1,5,0.8,0.9,0,0,301,0.001872227968960051
0.1,1,5,0.8,0.9,0,0,118,0.00188424082578987
0.3,1,5,0.8,0.9,0,0,62,0.001929061911490795
0.01,3,5,0.8,0.9,0,0,973,0.001797121101455868
0.05,3,5,0.8,0.9,0,0,184,0.001780189989073635
0.1,3,5,0.8,0.9,0,0,105,0.001799062089038565
0.3,3,5,0.8,0.9,0,0,29,0.001876034214698898
0.01,5,5,0.8,0.9,0,0,923,0.0018126477905055201
0.05,5,5,0.8,0.9,0,0,180,0.001812999190422865
0.1,5,5,0.8,0.9,0,0,84,0.0018338111008970879
0.3,5,5,0.8,0.9,0,0,27,0.00193871989813616
0.01,7,5,0.8,0.9,0,0,896,0.001824517514805933
0.05,7,5,0.8,0.9,0,0,194,0.001809257693588257
0.1,7,5,0.8,0.9,0,0,100,0.001821720698096571
0.3,7,5,0.8,0.9,0,0,29,0.001967602335315431
0.01,1,7,0.8,0.9,0,0,1220,0.001908251664720845
0.05,1,7,0.8,0.9,0,0,240,0.001915612932723181
0.1,1,7,0.8,0.9,0,0,156,0.0019158001474669389
0.3,1,7,0.8,0.9,0,0,82,0.00196712656358442
0.01,3,7,0.8,0.9,0,0,948,0.001812347730449833
0.05,3,7,0.8,0.9,0,0,176,0.001812167285187624
0.1,3,7,0.8,0.9,0,0,96,0.0018215591419351342
0.3,3,7,0.8,0.9,0,0,29,0.001909730640375193
0.01,5,7,0.8,0.9,0,0,904,0.001835823191749623
0.05,5,7,0.8,0.9,0,0,176,0.001826743649766747
0.1,5,7,0.8,0.9,0,0,93,0.001855909458389269
0.3,5,7,0.8,0.9,0,0,25,0.001939063013669168
0.01,7,7,0.8,0.9,0,0,898,0.0018458651735875791
0.05,7,7,0.8,0.9,0,0,180,0.001847225787486062
0.1,7,7,0.8,0.9,0,0,93,0.00186539258057852
0.3,7,7,0.8,0.9,0,0,28,0.001938585895147443
0.01,1,1,1,0.9,0,0,1528,0.001871601771184165
0.05,1,1,1,0.9,0,0,327,0.001869006103935273
0.1,1,1,1,0.9,0,0,190,0.001865466263328436
0.3,1,1,1,0.9,0,0,47,0.001907500331328042
0.01,3,1,1,0.9,0,0,935,0.001819006437060567
0.05,3,1,1,0.9,0,0,237,0.001813305120922045
0.1,3,1,1,0.9,0,0,85,0.001824863688644308
0.3,3,1,1,0.9,0,0,53,0.001885796453680282
0.01,5,1,1,0.9,0,0,1185,0.00178247402015702
0.05,5,1,1,0.9,0,0,264,0.001811171873656711
0.1,5,1,1,0.9,0,0,136,0.001838741475643379
0.3,5,1,1,0.9,0,0,26,0.001913775688522584
0.01,7,1,1,0.9,0,0,1185,0.001900412435329478
0.05,7,1,1,0.9,0,0,264,0.001905169335853207
0.1,7,1,1,0.9,0,0,135,0.001935229589142727
0.3,7,1,1,0.9,0,0,44,0.001991312255013201
