eta,max_depth,min_child_weight,subsample,colsample_bytree,lambda,alpha,optimal_trees,min_RMSE
0.01,1,1,0.65,0.8,0,0,945,0.008613921332295204
0.05,1,1,0.65,0.8,0,0,192,0.00861003579754382
0.1,1,1,0.65,0.8,0,0,115,0.008623785353835919
0.3,1,1,0.65,0.8,0,0,35,0.00873913970143967
0.01,3,1,0.65,0.8,0,0,701,0.008631068209099388
0.05,3,1,0.65,0.8,0,0,139,0.008705234328084567
0.1,3,1,0.65,0.8,0,0,63,0.008826228412170043
0.3,3,1,0.65,0.8,0,0,16,0.009160598874433684
0.01,5,1,0.65,0.8,0,0,730,0.008685652288620392
0.05,5,1,0.65,0.8,0,0,136,0.008713949152317848
0.1,5,1,0.65,0.8,0,0,86,0.00887461700366745
0.3,5,1,0.65,0.8,0,0,21,0.009178072391298702
0.01,7,1,0.65,0.8,0,0,724,0.008715541777125593
0.05,7,1,0.65,0.8,0,0,154,0.008836236373842055
0.1,7,1,0.65,0.8,0,0,75,0.008938941225555755
0.3,7,1,0.65,0.8,0,0,21,0.0096073806384361
0.01,1,3,0.65,0.8,0,0,651,0.008868259729948607
0.05,1,3,0.65,0.8,0,0,143,0.00883947425799805
0.1,1,3,0.65,0.8,0,0,81,0.008828632174026766
0.3,1,3,0.65,0.8,0,0,23,0.008882462373537745
0.01,3,3,0.65,0.8,0,0,645,0.00880897978265306
0.05,3,3,0.65,0.8,0,0,135,0.00874690895803955
0.1,3,3,0.65,0.8,0,0,77,0.008866945219268643
0.3,3,3,0.65,0.8,0,0,17,0.00913140852984418
0.01,5,3,0.65,0.8,0,0,645,0.00888766879672099
0.05,5,3,0.65,0.8,0,0,143,0.00894344019275205
0.1,5,3,0.65,0.8,0,0,79,0.008916409995842827
0.3,5,3,0.65,0.8,0,0,18,0.009542946050798808
0.01,7,3,0.65,0.8,0,0,651,0.00894319310077725
0.05,7,3,0.65,0.8,0,0,143,0.008952978407696559
0.1,7,3,0.65,0.8,0,0,66,0.009199654988746064
0.3,7,3,0.65,0.8,0,0,20,0.009314076420024757
0.01,1,5,0.65,0.8,0,0,738,0.008758724419629278
0.05,1,5,0.65,0.8,0,0,150,0.008755635976627091
0.1,1,5,0.65,0.8,0,0,93,0.008745073882968251
0.3,1,5,0.65,0.8,0,0,37,0.00884107602626762
0.01,3,5,0.65,0.8,0,0,688,0.008715566512209031
0.05,3,5,0.65,0.8,0,0,132,0.00875771344881914
0.1,3,5,0.65,0.8,0,0,71,0.008786281907944943
0.3,3,5,0.65,0.8,0,0,21,0.008970850306803866
