Metric,Training,Test
RMSE_0,0.00345,0.00707
RMSE,4.7e-4,0.00147
RMSE_Metrics,4.7e-4,0.00147
RMSE_caret,4.7e-4,0.00147
MSE_Metrics,0,0
MAE_Metrics,3.5e-4,8.4e-4
MAE_caret,3.5e-4,8.4e-4
MAPE_Metrics,3.5e-4,8.4e-4
RMSLE_Metrics,2.4e-4,7.4e-4
R2,0.9766,0.77544
R2_caret,0.97724,0.77589
R2_yardstick,0.97724,0.77589
RMSE_yardstick,4.7e-4,0.00147
Pearson_Cor,0.98855,0.88085
Pearson_P_Value,0,0
Spearman_Cor,0.97443,0.87121
Spearman_P_Value,0,0
SD_Error,4.7e-4,0.00147
