eta,max_depth,min_child_weight,subsample,colsample_bytree,lambda,alpha,optimal_trees,min_RMSE
0.01,1,1,0.65,0.8,0,0,936,0.001852476615902836
0.05,1,1,0.65,0.8,0,0,220,0.001853703721806215
0.1,1,1,0.65,0.8,0,0,121,0.001856995852758445
0.3,1,1,0.65,0.8,0,0,41,0.001931542471806609
0.01,3,1,0.65,0.8,0,0,969,0.00179667539031622
0.05,3,1,0.65,0.8,0,0,191,0.0018177829087368481
0.1,3,1,0.65,0.8,0,0,91,0.001832218589259039
0.3,3,1,0.65,0.8,0,0,30,0.00201125080198671
0.01,5,1,0.65,0.8,0,0,976,0.001782724586753778
0.05,5,1,0.65,0.8,0,0,190,0.001818047817061433
0.1,5,1,0.65,0.8,0,0,89,0.001840662457239172
0.3,5,1,0.65,0.8,0,0,34,0.0020209042440908808
0.01,7,1,0.65,0.8,0,0,1029,0.001800828645488076
0.05,7,1,0.65,0.8,0,0,200,0.00180872205481339
0.1,7,1,0.65,0.8,0,0,124,0.001858731194638727
0.3,7,1,0.65,0.8,0,0,32,0.002080346549357558
0.01,1,3,0.65,0.8,0,0,988,0.00184587672632973
0.05,1,3,0.65,0.8,0,0,263,0.001844258576107603
0.1,1,3,0.65,0.8,0,0,91,0.001862311107445891
0.3,1,3,0.65,0.8,0,0,38,0.00189412135079638
0.01,3,3,0.65,0.8,0,0,852,0.001802458476135195
0.05,3,3,0.65,0.8,0,0,177,0.001807755589074237
0.1,3,3,0.65,0.8,0,0,90,0.001818777124497185
0.3,3,3,0.65,0.8,0,0,29,0.001937638740296544
0.01,5,3,0.65,0.8,0,0,882,0.001797554288589197
0.05,5,3,0.65,0.8,0,0,174,0.001809229272916483
0.1,5,3,0.65,0.8,0,0,82,0.001823499212784149
0.3,5,3,0.65,0.8,0,0,23,0.001922321601957044
0.01,7,3,0.65,0.8,0,0,882,0.001800230730267747
0.05,7,3,0.65,0.8,0,0,167,0.00181571863457958
0.1,7,3,0.65,0.8,0,0,83,0.001856287644513003
0.3,7,3,0.65,0.8,0,0,23,0.001974719991534824
0.01,1,5,0.65,0.8,0,0,966,0.001859607997375798
