eta,max_depth,min_child_weight,subsample,colsample_bytree,lambda,alpha,optimal_trees,min_RMSE
0.01,1,1,0.65,0.8,0,0,1284,0.001439849694196569
0.05,1,1,0.65,0.8,0,0,219,0.001459451508558712
0.1,1,1,0.65,0.8,0,0,132,0.001452291758247805
0.3,1,1,0.65,0.8,0,0,49,0.00150810865373842
0.01,3,1,0.65,0.8,0,0,966,0.001343226043412224
0.05,3,1,0.65,0.8,0,0,173,0.001369044283833738
0.1,3,1,0.65,0.8,0,0,95,0.001369301983956124
0.3,3,1,0.65,0.8,0,0,39,0.001479400051634547
0.01,5,1,0.65,0.8,0,0,978,0.001345476324246947
0.05,5,1,0.65,0.8,0,0,200,0.001342693959266278
0.1,5,1,0.65,0.8,0,0,107,0.001370449555934894
0.3,5,1,0.65,0.8,0,0,28,0.001494457504601213
0.01,7,1,0.65,0.8,0,0,1047,0.001348244283516238
0.05,7,1,0.65,0.8,0,0,221,0.001358691893590401
0.1,7,1,0.65,0.8,0,0,118,0.001408314174325961
0.3,7,1,0.65,0.8,0,0,25,0.001568262003660354
0.01,1,3,0.65,0.8,0,0,1030,0.001435578594415217
0.05,1,3,0.65,0.8,0,0,238,0.001436670346274124
0.1,1,3,0.65,0.8,0,0,122,0.001437077907525023
0.3,1,3,0.65,0.8,0,0,51,0.001502792762842017
0.01,3,3,0.65,0.8,0,0,957,0.001345914232972253
0.05,3,3,0.65,0.8,0,0,209,0.001360085855777944
0.1,3,3,0.65,0.8,0,0,101,0.001384830134365493
0.3,3,3,0.65,0.8,0,0,25,0.001433324700787688
0.01,5,3,0.65,0.8,0,0,909,0.001320282221004787
0.05,5,3,0.65,0.8,0,0,173,0.001346135279615801
0.1,5,3,0.65,0.8,0,0,96,0.001365379675257811
0.3,5,3,0.65,0.8,0,0,26,0.001443207257117811
0.01,7,3,0.65,0.8,0,0,910,0.001321683040722885
0.05,7,3,0.65,0.8,0,0,173,0.0013402213294201309
0.1,7,3,0.65,0.8,0,0,87,0.001355358829143314
0.3,7,3,0.65,0.8,0,0,32,0.001479126724945242
0.01,1,5,0.65,0.8,0,0,1035,0.001460498021202199
0.05,1,5,0.65,0.8,0,0,286,0.001455742697765525
0.1,1,5,0.65,0.8,0,0,106,0.001466555225832826
0.3,1,5,0.65,0.8,0,0,41,0.001518412235585297
0.01,3,5,0.65,0.8,0,0,943,0.001366422671482804
0.05,3,5,0.65,0.8,0,0,196,0.001381209758593058
0.1,3,5,0.65,0.8,0,0,96,0.001381459182184055
0.3,3,5,0.65,0.8,0,0,31,0.001472930083413335
0.01,5,5,0.65,0.8,0,0,884,0.0013310155918952581
0.05,5,5,0.65,0.8,0,0,171,0.001359748269169625
0.1,5,5,0.65,0.8,0,0,97,0.001345600463070882
0.3,5,5,0.65,0.8,0,0,27,0.001404020307691494
0.01,7,5,0.65,0.8,0,0,881,0.001328427313663011
0.05,7,5,0.65,0.8,0,0,171,0.001341266452235479
0.1,7,5,0.65,0.8,0,0,101,0.001369590588759215
0.3,7,5,0.65,0.8,0,0,25,0.001434902302158566
0.01,1,7,0.65,0.8,0,0,1197,0.001472858693500048
0.05,1,7,0.65,0.8,0,0,244,0.00148225577482614
0.1,1,7,0.65,0.8,0,0,139,0.001479021541021198
0.3,1,7,0.65,0.8,0,0,43,0.001531105113410505
0.01,3,7,0.65,0.8,0,0,935,0.001372232422263149
0.05,3,7,0.65,0.8,0,0,170,0.001388247246873244
0.1,3,7,0.65,0.8,0,0,96,0.001387000988043633
0.3,3,7,0.65,0.8,0,0,41,0.001485434261723082
0.01,5,7,0.65,0.8,0,0,893,0.001340836755718623
0.05,5,7,0.65,0.8,0,0,170,0.00135181347360193
0.1,5,7,0.65,0.8,0,0,96,0.0013562491284845
0.3,5,7,0.65,0.8,0,0,25,0.001424480363961187
0.01,7,7,0.65,0.8,0,0,913,0.001338452599332053
0.05,7,7,0.65,0.8,0,0,200,0.001375234657440507
0.1,7,7,0.65,0.8,0,0,96,0.001376443837596088
0.3,7,7,0.65,0.8,0,0,27,0.001444667075069727
0.01,1,1,0.8,0.8,0,0,1512,0.001431637353026798
0.05,1,1,0.8,0.8,0,0,307,0.001430407017182821
0.1,1,1,0.8,0.8,0,0,140,0.001446072236950789
0.3,1,1,0.8,0.8,0,0,55,0.001465566604738062
0.01,3,1,0.8,0.8,0,0,932,0.0013397703086199591
0.05,3,1,0.8,0.8,0,0,221,0.001356060353068249
0.1,3,1,0.8,0.8,0,0,84,0.001391765841900806
0.3,3,1,0.8,0.8,0,0,36,0.001422139601408898
0.01,5,1,0.8,0.8,0,0,994,0.001325283695548778
0.05,5,1,0.8,0.8,0,0,260,0.001338244378993987
0.1,5,1,0.8,0.8,0,0,136,0.001355333837051841
0.3,5,1,0.8,0.8,0,0,27,0.00148640219883066
0.01,7,1,0.8,0.8,0,0,1112,0.001348872022328236
0.05,7,1,0.8,0.8,0,0,255,0.001360471232448171
0.1,7,1,0.8,0.8,0,0,121,0.001397620388352006
0.3,7,1,0.8,0.8,0,0,58,0.001544070494903496
0.01,1,3,0.8,0.8,0,0,1324,0.00141318807531815
0.05,1,3,0.8,0.8,0,0,317,0.001410453072700208
0.1,1,3,0.8,0.8,0,0,142,0.001423847777671332
0.3,1,3,0.8,0.8,0,0,38,0.001466120525887573
0.01,3,3,0.8,0.8,0,0,930,0.001341765528910842
0.05,3,3,0.8,0.8,0,0,221,0.0013458272596896881
0.1,3,3,0.8,0.8,0,0,117,0.001360461014793049
0.3,3,3,0.8,0.8,0,0,30,0.001415490891306855
0.01,5,3,0.8,0.8,0,0,930,0.001329369981779266
0.05,5,3,0.8,0.8,0,0,199,0.001332344673222709
0.1,5,3,0.8,0.8,0,0,88,0.001360290711156577
0.3,5,3,0.8,0.8,0,0,37,0.001463270016164778
0.01,7,3,0.8,0.8,0,0,881,0.00132572351283235
0.05,7,3,0.8,0.8,0,0,186,0.00133560684081398
0.1,7,3,0.8,0.8,0,0,89,0.001371479698515571
0.3,7,3,0.8,0.8,0,0,30,0.001477617146643765
0.01,1,5,0.8,0.8,0,0,1099,0.001448098721726451
0.05,1,5,0.8,0.8,0,0,245,0.001437534292167483
0.1,1,5,0.8,0.8,0,0,168,0.001441194340116281
0.3,1,5,0.8,0.8,0,0,73,0.0014692141526618
0.01,3,5,0.8,0.8,0,0,1064,0.001352726054210644
0.05,3,5,0.8,0.8,0,0,198,0.001366027394519578
0.1,3,5,0.8,0.8,0,0,98,0.001377963284901189
0.3,3,5,0.8,0.8,0,0,27,0.00143197098697213
0.01,5,5,0.8,0.8,0,0,931,0.001328414648442507
0.05,5,5,0.8,0.8,0,0,185,0.001338425166278119
0.1,5,5,0.8,0.8,0,0,104,0.001354362360042705
0.3,5,5,0.8,0.8,0,0,23,0.001414134033694542
0.01,7,5,0.8,0.8,0,0,913,0.001328421754615445
0.05,7,5,0.8,0.8,0,0,193,0.001335012651985421
0.1,7,5,0.8,0.8,0,0,91,0.00136630647530941
0.3,7,5,0.8,0.8,0,0,27,0.001422749257673805
0.01,1,7,0.8,0.8,0,0,1248,0.001463287111406567
0.05,1,7,0.8,0.8,0,0,289,0.00144630955767218
0.1,1,7,0.8,0.8,0,0,140,0.001464380091639439
0.3,1,7,0.8,0.8,0,0,73,0.001489418420960551
0.01,3,7,0.8,0.8,0,0,932,0.001369296190862301
0.05,3,7,0.8,0.8,0,0,219,0.001359072654758492
0.1,3,7,0.8,0.8,0,0,122,0.001379659253211996
0.3,3,7,0.8,0.8,0,0,28,0.001474860050879029
0.01,5,7,0.8,0.8,0,0,932,0.001339130695310785
0.05,5,7,0.8,0.8,0,0,195,0.001345315389001081
0.1,5,7,0.8,0.8,0,0,96,0.001373158928950912
0.3,5,7,0.8,0.8,0,0,23,0.001435498616433432
0.01,7,7,0.8,0.8,0,0,976,0.001333908587134175
0.05,7,7,0.8,0.8,0,0,187,0.0013310825577623059
0.1,7,7,0.8,0.8,0,0,94,0.001373394483343611
0.3,7,7,0.8,0.8,0,0,27,0.001447691500506309
0.01,1,1,1,0.8,0,0,1716,0.001430826520582437
0.05,1,1,1,0.8,0,0,366,0.00142887479862897
0.1,1,1,1,0.8,0,0,159,0.00143594162385431
0.3,1,1,1,0.8,0,0,78,0.001472686572388246
0.01,3,1,1,0.8,0,0,929,0.001342838271743549
0.05,3,1,1,0.8,0,0,307,0.001333255249032085
0.1,3,1,1,0.8,0,0,93,0.001345923471762091
0.3,3,1,1,0.8,0,0,25,0.001403964614093535
0.01,5,1,1,0.8,0,0,1185,0.001333174272084747
0.05,5,1,1,0.8,0,0,264,0.001343823532284891
0.1,5,1,1,0.8,0,0,135,0.001347455178361067
0.3,5,1,1,0.8,0,0,43,0.00139459171557622
0.01,7,1,1,0.8,0,0,1185,0.001337224732369212
0.05,7,1,1,0.8,0,0,264,0.001337177749139515
0.1,7,1,1,0.8,0,0,135,0.001372229873494688
0.3,7,1,1,0.8,0,0,43,0.001411402393082308
