eta,max_depth,min_child_weight,subsample,colsample_bytree,lambda,alpha,optimal_trees,min_RMSE
0.01,1,1,0.65,0.8,0,0,772,0.008529485312185567
0.05,1,1,0.65,0.8,0,0,172,0.008507358729798374
0.1,1,1,0.65,0.8,0,0,85,0.00857000720587494
0.3,1,1,0.65,0.8,0,0,34,0.008644317267836845
0.01,3,1,0.65,0.8,0,0,717,0.008590454088995633
0.05,3,1,0.65,0.8,0,0,132,0.008648193126920735
0.1,3,1,0.65,0.8,0,0,63,0.008779253539972918
0.3,3,1,0.65,0.8,0,0,16,0.008988904378680013
0.01,5,1,0.65,0.8,0,0,740,0.00865039119038239
0.05,5,1,0.65,0.8,0,0,137,0.008762881025568572
0.1,5,1,0.65,0.8,0,0,65,0.008815538382127928
0.3,5,1,0.65,0.8,0,0,20,0.009421788393873276
0.01,7,1,0.65,0.8,0,0,724,0.008636080547103754
0.05,7,1,0.65,0.8,0,0,145,0.008794704022093982
0.1,7,1,0.65,0.8,0,0,81,0.009031225861248852
0.3,7,1,0.65,0.8,0,0,21,0.009490429174089092
0.01,1,3,0.65,0.8,0,0,651,0.008747884278716856
0.05,1,3,0.65,0.8,0,0,143,0.008716380905982401
0.1,1,3,0.65,0.8,0,0,81,0.008761214621765826
0.3,1,3,0.65,0.8,0,0,23,0.008759782663497065
0.01,3,3,0.65,0.8,0,0,645,0.008782907448579635
0.05,3,3,0.65,0.8,0,0,135,0.00879021506185271
0.1,3,3,0.65,0.8,0,0,72,0.008917359573320339
0.3,3,3,0.65,0.8,0,0,17,0.009204908133451083
0.01,5,3,0.65,0.8,0,0,635,0.008853360189760748
0.05,5,3,0.65,0.8,0,0,143,0.008978732011325609
0.1,5,3,0.65,0.8,0,0,79,0.008931292646164756
0.3,5,3,0.65,0.8,0,0,18,0.009557761383163004
0.01,7,3,0.65,0.8,0,0,651,0.008925316297579363
0.05,7,3,0.65,0.8,0,0,126,0.009055943140673924
0.1,7,3,0.65,0.8,0,0,60,0.009108840886585114
0.3,7,3,0.65,0.8,0,0,17,0.009749711145845278
0.01,1,5,0.65,0.8,0,0,720,0.00865034892421937
0.05,1,5,0.65,0.8,0,0,143,0.00863891491834226
0.1,1,5,0.65,0.8,0,0,90,0.008633672879241366
0.3,1,5,0.65,0.8,0,0,23,0.00872862839897103
0.01,3,5,0.65,0.8,0,0,685,0.008646233825408673
0.05,3,5,0.65,0.8,0,0,132,0.008625946010540517
0.1,3,5,0.65,0.8,0,0,72,0.008711274565890773
0.3,3,5,0.65,0.8,0,0,17,0.008974223756461947
0.01,5,5,0.65,0.8,0,0,694,0.008719285345885624
0.05,5,5,0.65,0.8,0,0,135,0.00876181027126742
0.1,5,5,0.65,0.8,0,0,70,0.008792216926456571
0.3,5,5,0.65,0.8,0,0,22,0.009048007979217633
0.01,7,5,0.65,0.8,0,0,643,0.008749908752363362
0.05,7,5,0.65,0.8,0,0,133,0.00882940642041677
0.1,7,5,0.65,0.8,0,0,66,0.008947715357026995
0.3,7,5,0.65,0.8,0,0,18,0.009488619070946265
0.01,1,7,0.65,0.8,0,0,714,0.008617081801522021
0.05,1,7,0.65,0.8,0,0,170,0.008600815078441003
0.1,1,7,0.65,0.8,0,0,71,0.008614797439289074
0.3,1,7,0.65,0.8,0,0,20,0.00872552056165867
0.01,3,7,0.65,0.8,0,0,694,0.00859934224327688
0.05,3,7,0.65,0.8,0,0,133,0.00863966687654034
0.1,3,7,0.65,0.8,0,0,78,0.00873727092272263
0.3,3,7,0.65,0.8,0,0,19,0.008898725556205469
0.01,5,7,0.65,0.8,0,0,683,0.008622829662128035
0.05,5,7,0.65,0.8,0,0,132,0.008725469317214655
0.1,5,7,0.65,0.8,0,0,70,0.008712366352195284
0.3,5,7,0.65,0.8,0,0,23,0.009122875199665582
0.01,7,7,0.65,0.8,0,0,704,0.008651436960800753
0.05,7,7,0.65,0.8,0,0,130,0.008793145418045666
0.1,7,7,0.65,0.8,0,0,70,0.00882788148558936
0.3,7,7,0.65,0.8,0,0,20,0.009338047065329733
0.01,1,1,0.8,0.8,0,0,949,0.008463803466766527
0.05,1,1,0.8,0.8,0,0,173,0.008479438869621657
0.1,1,1,0.8,0.8,0,0,120,0.008470028343613174
0.3,1,1,0.8,0.8,0,0,42,0.008601363993146193
0.01,3,1,0.8,0.8,0,0,664,0.008546047810008586
0.05,3,1,0.8,0.8,0,0,146,0.0085270822319129
0.1,3,1,0.8,0.8,0,0,67,0.008664624089030222
0.3,3,1,0.8,0.8,0,0,18,0.00887365433063404
0.01,5,1,0.8,0.8,0,0,711,0.008569709550097865
0.05,5,1,0.8,0.8,0,0,153,0.008651604184956151
0.1,5,1,0.8,0.8,0,0,76,0.008787732553198549
0.3,5,1,0.8,0.8,0,0,19,0.009233573778503429
0.01,7,1,0.8,0.8,0,0,775,0.00860828855106719
0.05,7,1,0.8,0.8,0,0,155,0.008706144462898085
0.1,7,1,0.8,0.8,0,0,71,0.008628992221592713
0.3,7,1,0.8,0.8,0,0,22,0.009389011427521845
0.01,1,3,0.8,0.8,0,0,651,0.008743190680855628
0.05,1,3,0.8,0.8,0,0,142,0.008730750959191437
0.1,1,3,0.8,0.8,0,0,70,0.00870705154397431
0.3,1,3,0.8,0.8,0,0,23,0.008707449990356528
0.01,3,3,0.8,0.8,0,0,678,0.00880353866976193
0.05,3,3,0.8,0.8,0,0,135,0.008789590750909676
0.1,3,3,0.8,0.8,0,0,72,0.008762017318965205
0.3,3,3,0.8,0.8,0,0,23,0.009145993253965689
0.01,5,3,0.8,0.8,0,0,692,0.008911597159324729
0.05,5,3,0.8,0.8,0,0,142,0.008958134857731354
0.1,5,3,0.8,0.8,0,0,66,0.009095951051635158
0.3,5,3,0.8,0.8,0,0,17,0.009453324227550455
0.01,7,3,0.8,0.8,0,0,658,0.008964405987363177
0.05,7,3,0.8,0.8,0,0,131,0.009110151769227675
0.1,7,3,0.8,0.8,0,0,66,0.009060352971666278
0.3,7,3,0.8,0.8,0,0,18,0.009609261360715882
0.01,1,5,0.8,0.8,0,0,718,0.008630649125541765
0.05,1,5,0.8,0.8,0,0,150,0.008636259190949977
0.1,1,5,0.8,0.8,0,0,71,0.008600005066412121
0.3,1,5,0.8,0.8,0,0,24,0.008680096851029814
0.01,3,5,0.8,0.8,0,0,679,0.008676464030414312
0.05,3,5,0.8,0.8,0,0,137,0.008689573834033104
0.1,3,5,0.8,0.8,0,0,71,0.008736873128703563
0.3,3,5,0.8,0.8,0,0,18,0.008922027624707765
0.01,5,5,0.8,0.8,0,0,678,0.008774394049829454
0.05,5,5,0.8,0.8,0,0,130,0.008778520936931229
0.1,5,5,0.8,0.8,0,0,68,0.00888046318897362
0.3,5,5,0.8,0.8,0,0,17,0.009039688472572577
0.01,7,5,0.8,0.8,0,0,680,0.008758754304132258
0.05,7,5,0.8,0.8,0,0,129,0.008887049894870528
0.1,7,5,0.8,0.8,0,0,71,0.008935075162423188
0.3,7,5,0.8,0.8,0,0,19,0.008885479169709685
0.01,1,7,0.8,0.8,0,0,716,0.0085943616895483
0.05,1,7,0.8,0.8,0,0,155,0.00859202475784013
0.1,1,7,0.8,0.8,0,0,71,0.008578315601381017
0.3,1,7,0.8,0.8,0,0,23,0.008666372681700889
0.01,3,7,0.8,0.8,0,0,707,0.008612981466353042
0.05,3,7,0.8,0.8,0,0,135,0.008622091588479819
0.1,3,7,0.8,0.8,0,0,70,0.008627929500021803
0.3,3,7,0.8,0.8,0,0,18,0.008829075559654329
0.01,5,7,0.8,0.8,0,0,686,0.008658993874159901
0.05,5,7,0.8,0.8,0,0,130,0.008634821505719417
0.1,5,7,0.8,0.8,0,0,71,0.008775294957230761
0.3,5,7,0.8,0.8,0,0,18,0.009092668975538055
0.01,7,7,0.8,0.8,0,0,715,0.008654522186033582
0.05,7,7,0.8,0.8,0,0,133,0.008777203561159776
0.1,7,7,0.8,0.8,0,0,72,0.00876529343027996
0.3,7,7,0.8,0.8,0,0,19,0.009190012515847727
0.01,1,1,1,0.8,0,0,1344,0.008448239743290226
0.05,1,1,1,0.8,0,0,251,0.00845664444412334
0.1,1,1,1,0.8,0,0,145,0.00844533291857785
0.3,1,1,1,0.8,0,0,41,0.008499440412986331
0.01,3,1,1,0.8,0,0,692,0.008555978377177491
0.05,3,1,1,0.8,0,0,134,0.00852075548444564
0.1,3,1,1,0.8,0,0,70,0.008536671503571854
0.3,3,1,1,0.8,0,0,18,0.008836829803577771
0.01,5,1,1,0.8,0,0,740,0.008699585680184453
0.05,5,1,1,0.8,0,0,146,0.008696595635778325
0.1,5,1,1,0.8,0,0,69,0.008605167574808155
0.3,5,1,1,0.8,0,0,20,0.009068121371038481
0.01,7,1,1,0.8,0,0,817,0.008703024121169165
0.05,7,1,1,0.8,0,0,153,0.008810964286425874
0.1,7,1,1,0.8,0,0,71,0.008768041426668163
0.3,7,1,1,0.8,0,0,19,0.0091273942682441
0.01,1,3,1,0.8,0,0,792,0.008699663751847697
0.05,1,3,1,0.8,0,0,166,0.00870066087157867
0.1,1,3,1,0.8,0,0,78,0.008702815736986669
0.3,1,3,1,0.8,0,0,32,0.008715546419891158
