eta,max_depth,min_child_weight,subsample,colsample_bytree,lambda,alpha,optimal_trees,min_RMSE
0.01,5,3,0.8,0.8,0,0,524,0.07991516157347331
0.05,5,3,0.8,0.8,0,0,94,0.08115716200592281
0.1,5,3,0.8,0.8,0,0,65,0.08051876023984718
0.3,5,3,0.8,0.8,0,0,11,0.0853990351741685
0.01,7,3,0.8,0.8,0,0,500,0.07987406403295404
0.05,7,3,0.8,0.8,0,0,111,0.08110317363336812
0.1,7,3,0.8,0.8,0,0,52,0.08190112381337789
0.3,7,3,0.8,0.8,0,0,10,0.08754426029156133
0.01,1,5,0.8,0.8,0,0,953,0.08230416603824262
0.05,1,5,0.8,0.8,0,0,213,0.08215137479563828
0.1,1,5,0.8,0.8,0,0,182,0.08172179811006698
0.3,1,5,0.8,0.8,0,0,53,0.08184616323053119
0.01,3,5,0.8,0.8,0,0,454,0.08017983528933956
0.05,3,5,0.8,0.8,0,0,97,0.08017736447327711
0.1,3,5,0.8,0.8,0,0,48,0.08031433088314353
0.3,3,5,0.8,0.8,0,0,15,0.08359664647149917
0.01,5,5,0.8,0.8,0,0,477,0.07955649373447887
0.05,5,5,0.8,0.8,0,0,100,0.07971540426158934
0.1,5,5,0.8,0.8,0,0,55,0.08026792210647674
0.3,5,5,0.8,0.8,0,0,14,0.08291329147861898
0.01,7,5,0.8,0.8,0,0,516,0.07936058727154206
0.05,7,5,0.8,0.8,0,0,99,0.0806043155810504
0.1,7,5,0.8,0.8,0,0,45,0.08118222111741348
0.3,7,5,0.8,0.8,0,0,12,0.08484929363635206
0.01,1,7,0.8,0.8,0,0,1060,0.08210708728318321
0.05,1,7,0.8,0.8,0,0,213,0.0820885278457284
0.1,1,7,0.8,0.8,0,0,194,0.08161668682002936
0.3,1,7,0.8,0.8,0,0,117,0.08112198580113708
0.01,3,7,0.8,0.8,0,0,473,0.0797553179209931
0.05,3,7,0.8,0.8,0,0,98,0.07959951456586017
0.1,3,7,0.8,0.8,0,0,50,0.08046937447314725
0.3,3,7,0.8,0.8,0,0,13,0.0817693854666632
0.01,5,7,0.8,0.8,0,0,477,0.0791468808840382
0.05,5,7,0.8,0.8,0,0,96,0.07943856155119242
0.1,5,7,0.8,0.8,0,0,50,0.07936622506005422
0.3,5,7,0.8,0.8,0,0,12,0.0822013715355813
0.01,7,7,0.8,0.8,0,0,473,0.07901392576546529
0.05,7,7,0.8,0.8,0,0,105,0.07987978505175118
0.1,7,7,0.8,0.8,0,0,43,0.08035727153195585
0.3,7,7,0.8,0.8,0,0,16,0.08463367862705812
0.01,1,1,1,0.8,0,0,1150,0.08275341997203116
0.05,1,1,1,0.8,0,0,248,0.08265174859943715
0.1,1,1,1,0.8,0,0,167,0.08246109863250257
0.3,1,1,1,0.8,0,0,70,0.08209586264723638
0.01,3,1,1,0.8,0,0,446,0.08253930535712797
0.05,3,1,1,0.8,0,0,102,0.08265289903618508
0.1,3,1,1,0.8,0,0,57,0.08260719893493786
0.3,3,1,1,0.8,0,0,12,0.0831190634748609
0.01,5,1,1,0.8,0,0,491,0.08212280240845925
0.05,5,1,1,0.8,0,0,137,0.08234344295410731
